	WT	pH	NH4+-N	TN	NO3-	TP	NO2-	PO43-	COD	SD
C3_1D	9.6	8.92	0.114	2.76	1.74	0.119	0.041	0.015	4.8	0.876433915
C3_2	7.9	9.32	0.148	3	1.83	0.189	0.039	0.006	6.3	0.853755812
C3_2D	11.4	10.21	0.156	2.38	1.78	0.182	0.033	0.014	10.1	0.887645239
C3_3	16.7	6.33	1.32	2.18	0.613	0.389	0.052	0.038	8.5	0.881019392
C6_4	23.3	7.83	0.20924	3.513	2.3	0.08496	0.089	0.093	2.836363636	0.737390891
C6_4D	25.1	8.81	0.16592	2.358	1.5	0.093	0.073	0.041	3.018867925	0.743108157
C6_5	26.3	8.96	0.09504	1.027	0.3	0.084	0.044	0.013	4.647619048	0.600286993
C6_5D	24.8	8.31	0.06552	3.81	2.9	0.212	0.064	0.02	5.203883495	0.330350674
C6_6	29.7	7.39	0.09204	2.723	1.5	0.165	0.051	0.023	9.873873874	0.302018059
C6_6D	26.8	7.58	0.20236	6.174	0.4	0.647	0.107	0.034	3.588785047	0.317352756
C6_7	30.5	6.81	0.10876	2.566	1.35	0.076	0.032	0.003	6.641509434	0.436921016
C6_7D	31.9	9.3	0.097	1.846	0.05	0.203	0	0.008	11.11504425	0.445730895
C6_8	28.5	8.73	0.42064	2.226	0.3	0.25	0.006	0.05	4.31372549	0.458930023
C6_8D	30.8	8.45	0.58608	9.147	1.05	0.849	0.016	0.042	5.1942	0.24132
C6_9	33.6	9.14	0.10132	1.65	0	0.207	0	0.034	4.899653979	0.419902182
C6_9D	31.2	9.47	0.09248	0.866	0.059	0.095	0	0.003	4.112149533	0.600048196
C6_10	27.3	9.15	0.104	1.566	0.075	0.141	0	0.03928	6.736448598	0.439056226
C6_10D	20.2	8.19	0.2018	0.97	0.094	0.113	0.003	0.03	2.7	0.600306613
C6_11	16.4	8.49	0.083	1.25	0.41	0.086	0.014	0.014	4.9	0.657976721
C6_11D	13.8	9.48	0.067	0.96	0.234	0.072	0.01	0.004	5.1	0.61145618
C6_12	12.8	9.04	0.147	0.9	0.199	0.049	0.008	0.013	4.3	0.668735048
C6_12D	10.9	8.58	0.47	1.31	0.394	0.103	0.013	0.009	4.6	0.703027348
C6_1	9.8	8.39	0.155	1.3	0.345	0.067	0.018	0.007	5.9	0.697938619
C6_1D	10.4	9.08	0.104	1.54	0.612	0.151	0.01	0.003	5	0.711496597
C6_2	9.3	8.83	0.183	3.35	2.86	0.107	0.041	0.047	3.3	0.716162431
C6_2D	13.3	9.75	0.116	2.33	1.65	0.092	0.034	0.013	5.7	0.721837729
C6_3	18.1	7.06	0.697	3.04	1.84	0.17	0.058	0.014	22.1	0.336505004
N2_4	18.3	7.69	1.54884	3.523	0.75	0.29124	0.118	0.128	10.39252336	0.826426229
N2_4D	23.7	8.65	0.1246	1.224	0.05	0.269	0.011	0.095	5.565217391	1.034565156
N2_5	23.8	7.83	0.2368	2.58	0.1	0.975	0.001	0.688	16.65672749	0.873248847
N2_5D	22.2	6.94	3.52012	3.841	0.1	0.416	0.021	0.145	3.733333333	1.010567682
N2_6	26	7.91	3.216	3.753	0.2	0.71	0.087	0.589	4.114285714	1.023986655
N2_6D	31	7.52	1.71788	2.078	0	0.444	0.014	0.237	2.841121495	1.207873718
N2_7	33.8	6.53	2.75656	3.206	0.4	0.676	0.098	0.495	3.961165049	0.998742669
N2_7D	28.7	6.43	1.76804	2.126	0.05	0.562	0.014	0.262	9.657657658	0.837534186
N2_8	27.8	6.81	0.85604	1.077	0	0.675	0.01	0.197	5.254901961	0.921874305
N2_8D	26.7	6.9	0.22396	1.071	0.25	0.467	0.053	0.346	6.8753	0.749087468
N2_9	28.6	7.46	1.59644	2.647	0.05	0.795	0.019	0.483	7.259259259	0.916766829
N2_9D	28.2	7.67	2.65584	3.721	0.143	1.106	0	1.426	6.476190476	1.120229735
N2_10	23.9	7.57	2.32172	3.293	0.095	0.929	1.29	1.12784	11.51401869	0.919626454
N2_10D	19.3	7.51	0.70436	1	0.054	0.232	0.005	0.165	2.1	1.02300298
N2_11	17.1	7.93	0.08	1.55	1.08	0.125	0.013	0.092	3.4	0.75938543
N2_11D	14.8	8.4	0.079	0.95	0.573	0.059	0.004	0.039	3.4	0.945943483
N2_12	9.6	8.66	0.12	1.2	0.848	0.107	0.006	0.094	3.8	1.100487709
N2_12D	9.6	8.65	0.91	2.45	1.56	0.313	0.052	0.293	4.8	1.032004026
N2_1	8	8.06	0.84	1.85	0.065	1	0	0.782	7.5	1.015274863
N2_1D	11.3	8.77	3.32	7.13	2.89	0.647	0.001	0.437	7	0.743636509
N2_2	8.9	8.67	1.98	4.52	1.94	0.44	0.12	0.381	3.3	0.931081428
N2_2D	11.5	8.89	2.34	3.16	0.621	0.94	0.062	0.853	4.3	1.251813213
N2_3	16.3	5.63	0.78	1.58	0.556	0.565	0.027	0.467	4.4	1.118764685
N3_4	20	7.81	0.49032	1.953	0.1	0.13348	0	0.013	12.11214953	0.608659134
N3_4D	25	8.84	0.16	1.477	1.15	0.112	0	0.007	7.1933395	0.749087468
N3_5	25.8	7.97	0.30764	1.38	0.05	0.133	0	0.008	10.98181818	0.797799397
N3_5D	26.2	6.89	0.31356	1.531	0.1	0.166	0.002	0.01	7.39047619	0.711263028
N3_6	29	8.38	0.19072	1.25	0.05	0.173	0.012	0.009	6.933333333	0.79397392
N3_6D	30.2	8.19	0.34172	1.906	0.15	0.19	0.008	0.01	5.906542056	0.745957554
N3_7	32.5	7.84	0.21468	1.796	0.05	0.163	0.007	0.016	13.3592233	0.48537431
N3_7D	33.9	7.78	0.32648	1.826	0.2	0.237	0	0.009	13.26126126	0.465638209
N3_8	30.6	8.77	0.30296	0.877	0.05	0.201	0	0.018	12	0.531113506
N3_8D	29.9	7.5	0.70288	14.721	0.55	1.485	0.009	0.065	9.4538	0.348332003
N3_9	33.3	8.05	0.76712	2.566	0.05	0.451	0	0.197	7.185185185	0.365023288
N3_9D	31.5	9.75	0.39776	2.001	0.095	0.267	0	0.09884	1.295238095	0.579999936
N3_10	27.7	7.83	0.29408	2.287	0.115	0.346	0	0.03792	12.78504673	0.674613314
N3_10D	20.2	8.07	0.4172	2.3	0.126	0.363	0	0.097	6.9	0.590453818
N3_11	17.1	8.33	0.451	2.87	0.17	0.514	0.002	0.012	14.2	0.632007396
N3_11D	13	9.02	0.085	1.57	0.151	0.17	0.001	0.005	10.7	0.798185306
N3_12	11.5	8.94	0.253	1.58	0.183	0.134	0.003	0.006	9.7	0.760043901
N3_12D	10.2	8.73	0.601	1.98	0.226	0.173	0.002	0.014	10.1	0.681653736
N3_1	7.9	8.25	0.727	2.01	0.403	0.242	0.003	0.014	9.3	0.708985002
N3_1D	9.1	8.99	0.608	2.23	0.736	0.235	0.155	0.017	12.2	0.700854742
N3_2	9	9.16	0.197	2.9	0.551	0.201	0.009	0.013	14.2	0.787052994
N3_2D	12.8	9.09	0.243	1.45	0.473	0.114	0.007	0.021	9.8	0.978736483
N3_3	18.5	5.98	0.286	1.51	0.169	0.093	0.001	0.015	10	0.981199878
N4_4	19.2	7.76	1.7342	4.029	0.2	0.09844	0.121	0.007	10.1682243	0.74751743
N4_4D	25.2	8.44	0.20136	3.067	1.05	0.145	0.068	0.008	6.519888992	0.824264779
N4_5	26.5	8.34	0.23088	1.925	0.2	0.16	0.015	0.006	6.109090909	0.736804555
N4_5D	24.8	6.9	1.34108	4.476	1.8	0.232	0.215	0.005	6.019047619	0.65829461
N4_6	30.6	7.12	0.2604	2.31	0.45	0.154	0.061	0.01	6.247619048	0.773954869
N4_6D	28.8	7.96	0.15588	1.967	0.45	0.148	0.021	0.006	3.289719626	0.758728754
N4_7	33.2	6.74	0.12056	1.796	0.55	0	0.018	0.007	6.601941748	0.824264779
N4_7D	32.9	7.72	0.22056	1.087	0.05	0.149	0	0.007	11.17117117	0.775707604
N4_8	29.9	7.67	0.20292	0.797	0.35	0.109	0.023	0.012	5.882352941	0.866745484
N4_8D	28.7	7.34	0.07212	1.681	0.6	0.124	0.036	0.053	7.3846	0.50061189
N4_9	32.7	7.95	0.113	0.938	0	0.101	0	0.039	6.296296296	0.86292607
N4_9D	31	9.66	0.536	1.635	0.043	0.101	0	0.00432	5.714285714	0.979145305
N4_10	28.5	8.54	0.17888	0.925	0.043	0.174	0	0.01256	7.327102804	0.908386075
N4_10D	20.7	8.59	0.3454	0.67	0.094	0.109	0	0.028	3.9	0.868548806
N4_11	18.4	8.89	0.098	1.28	0.06	0.169	0.001	0.021	7.7	0.872985315
N4_11D	14.2	9.48	0.062	0.56	0.067	0.085	0.001	0.005	6	0.920587253
N4_12	13.4	8.73	0.126	0.82	0.051	0.076	0.001	0.006	5.8	0.930077956
N4_12D	11	8.66	0.109	0.79	0.086	0.084	0	0.008	7.2	0.902658476
N4_1	9.2	8.11	0.115	0.9	0.078	0.106	0	0.014	7.7	0.893596159
N4_1D	10.3	8.86	0.29	1.14	0.134	0.088	0.014	0.007	6	0.890177662
N4_2	8.8	8.96	0.098	1.51	1.13	0.063	0.016	0.003	3.6	0.73710412
N4_2D	13.9	8.51	0.185	1.49	1.1	0.043	0.02	0.008	3.9	0.839589148
N4_3	16.6	5.92	0.159	1.82	1.19	0.103	0.022	0.067	3.7	0.752099017
